id,title,duration,director,actors,genres,year
16,Hacksaw Ridge,139,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer","Biography,Drama,History",2016
17,Jason Bourne,123,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel","Action,Thriller",2016
18,Lion,118,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","Biography,Drama",2016
19,Arrival,116,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg","Drama,Mystery,Sci-Fi",2016
20,Gold,120,Stephen Gaghan,"Matthew McConaughey, Edgar RamÃ­rez, Bryce Dallas Howard, Corey Stoll","Adventure,Drama,Thriller",2016
21,Manchester by the Sea,137,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges",Drama,2016
22,Hounds of Love,108,Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter","Crime,Drama,Horror",2016
23,Trolls,92,Walt Dohrn,"Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse","Animation,Adventure,Comedy",2016
24,Independence Day: Resurgence,120,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe","Action,Adventure,Sci-Fi",2016
25,Paris pieds nus,83,Dominique Abel,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard",Comedy,2016
26,Bahubali: The Beginning,159,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia","Action,Adventure,Drama",2015
27,Dead Awake,99,Phillip Guzman,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty","Horror,Thriller",2016
28,Bad Moms,100,Jon Lucas,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate",Comedy,2016
29,Assassin's Creed,115,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson","Action,Adventure,Drama",2016
30,Why Him?,111,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",Comedy,2016
31,Nocturnal Animals,116,Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson","Drama,Thriller",2016
32,X-Men: Apocalypse,144,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","Action,Adventure,Sci-Fi",2016
33,Deadpool,108,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","Action,Adventure,Comedy",2016
34,Resident Evil: The Final Chapter,107,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","Action,Horror,Sci-Fi",2016
35,Captain America: Civil War,147,Anthony Russo,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan","Action,Adventure,Sci-Fi",2016
36,Interstellar,169,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","Adventure,Drama,Sci-Fi",2014
37,Doctor Strange,115,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong","Action,Adventure,Fantasy",2016
38,The Magnificent Seven,132,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio","Action,Adventure,Western",2016
39,5- 25- 77,113,Patrick Read Johnson,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn","Comedy,Drama",2007
40,Sausage Party,89,Greg Tiernan,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell","Animation,Adventure,Comedy",2016
41,Moonlight,111,Barry Jenkins,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Drama,2016
42,Don't Fuck in the Woods,73,Shawn Burkett,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White",Horror,2016
43,The Founder,115,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini","Biography,Drama,History",2016
44,Lowriders,99,Ricardo de Montreuil,"Gabriel Chavarria, DemiÃ¡n Bichir, Theo Rossi,Tony Revolori",Drama,2016
45,Pirates of the Caribbean: On Stranger Tides,136,Rob Marshall,"Johnny Depp, PenÃ©lope Cruz, Ian McShane, Geoffrey Rush","Action,Adventure,Fantasy",2011
46,Miss Sloane,132,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg","Drama,Thriller",2016
47,Fallen,91,Scott Hicks,"Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine","Adventure,Drama,Fantasy",2016
48,Star Trek Beyond,122,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana","Action,Adventure,Sci-Fi",2016
49,The Last Face,130,Sean Penn,"Charlize Theron, Javier Bardem, AdÃ¨le Exarchopoulos,Jared Harris",Drama,2016
50,Star Wars: Episode VII - The Force Awakens,136,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson","Action,Adventure,Fantasy",2015
51,Underworld: Blood Wars,91,Anna Foerster,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver","Action,Adventure,Fantasy",2016
52,Mother's Day,118,Garry Marshall,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis","Comedy,Drama",2016
53,John Wick,101,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Action,Crime,Thriller",2014
54,The Dark Knight,152,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine","Action,Crime,Drama",2008
55,Silence,161,Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano","Adventure,Drama,History",2016
56,Don't Breathe,88,Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto","Crime,Horror,Thriller",2016
57,Me Before You,106,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance","Drama,Romance",2016
58,Their Finest,117,Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston","Comedy,Drama,Romance",2016
59,Sully,96,Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey","Biography,Drama",2016
60,Batman v Superman: Dawn of Justice,151,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action,Adventure,Sci-Fi",2016
61,The Autopsy of Jane Doe,86,AndrÃ© Ãvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton","Horror,Mystery,Thriller",2016
62,The Girl on the Train,112,Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux","Crime,Drama,Mystery",2016
63,Fifty Shades of Grey,125,Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford","Drama,Romance,Thriller",2015
64,The Prestige,130,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine","Drama,Mystery,Sci-Fi",2006
65,Kingsman: The Secret Service,129,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine","Action,Adventure,Comedy",2014
66,Patriots Day,133,Peter Berg,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman","Drama,History,Thriller",2016
67,Mad Max: Fury Road,120,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, ZoÃ« Kravitz","Action,Adventure,Sci-Fi",2015
68,Wakefield,106,Robin Swicord,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara",Drama,2016
69,Deepwater Horizon,107,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont","Action,Drama,Thriller",2016
70,The Promise,133,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel GimÃ©nez Cacho","Drama,History",2016
71,Allied,124,Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim","Action,Drama,Romance",2016
72,A Monster Calls,108,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell","Drama,Fantasy",2016
73,Collateral Beauty,97,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael PeÃ±a","Drama,Romance",2016
74,Zootopia,108,Byron Howard,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","Animation,Adventure,Comedy",2016
75,Pirates of the Caribbean: At World's End,169,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush","Action,Adventure,Fantasy",2007
76,The Avengers,143,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner","Action,Sci-Fi",2012
77,Inglourious Basterds,153,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth,MÃ©lanie Laurent","Adventure,Drama,War",2009
78,Pirates of the Caribbean: Dead Man's Chest,151,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport","Action,Adventure,Fantasy",2006
79,Ghostbusters,116,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones","Action,Comedy,Fantasy",2016
80,Inception,148,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe","Action,Adventure,Sci-Fi",2010
81,Captain Fantastic,118,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso","Comedy,Drama",2016
82,The Wolf of Wall Street,180,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey","Biography,Comedy,Crime",2013
83,Gone Girl,149,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry","Crime,Drama,Mystery",2014
84,Furious Seven,137,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham","Action,Crime,Thriller",2015
85,Jurassic World,124,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer","Action,Adventure,Sci-Fi",2015
86,Live by Night,129,Ben Affleck,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina","Crime,Drama",2016
87,Avatar,162,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez","Action,Adventure,Fantasy",2009
88,The Hateful Eight,187,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins","Crime,Drama,Mystery",2015
89,The Accountant,128,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal","Action,Crime,Drama",2016
90,Prisoners,153,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo","Crime,Drama,Mystery",2013
91,Warcraft,123,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper","Action,Adventure,Fantasy",2016
92,The Help,146,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",Drama,2011
93,War Dogs,114,Todd Phillips,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner","Comedy,Crime,Drama",2016
94,Avengers: Age of Ultron,141,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Action,Adventure,Sci-Fi",2015
95,The Nice Guys,116,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer","Action,Comedy,Crime",2016
96,Kimi no na wa,106,Makoto Shinkai,"RyÃ»nosuke Kamiki, Mone Kamishiraishi, RyÃ´ Narita, Aoi Yuki","Animation,Drama,Fantasy",2016
97,The Void,90,Jeremy Gillespie,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe","Horror,Mystery,Sci-Fi",2016
98,Personal Shopper,105,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie","Drama,Mystery,Thriller",2016
99,The Departed,151,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","Crime,Drama,Thriller",2006
100,Legend,132,Brian Helgeland,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson","Biography,Crime,Drama",2015
101,Thor,115,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston","Action,Adventure,Fantasy",2011
102,The Martian,144,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara","Adventure,Drama,Sci-Fi",2015
103,Contratiempo,106,Oriol Paulo,"Mario Casas, Ana Wagener, JosÃ© Coronado, BÃ¡rbara Lennie","Crime,Mystery,Thriller",2016
104,The Man from U.N.C.L.E.,116,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","Action,Adventure,Comedy",2015
105,Hell or High Water,102,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham","Crime,Drama,Thriller",2016
106,The Comedian,120,Taylor Hackford,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco",Comedy,2016
107,The Legend of Tarzan,110,David Yates,"Alexander SkarsgÃ¥rd, Rory J. Saper, Christian Stevens, Christoph Waltz","Action,Adventure,Drama",2016
108,All We Had,105,Katie Holmes,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis",Drama,2016
109,Ex Machina,108,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno","Drama,Mystery,Sci-Fi",2014
110,The Belko Experiment,89,Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley","Action,Horror,Thriller",2016
111,12 Years a Slave,134,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt","Biography,Drama,History",2013
112,The Bad Batch,118,Ana Lily Amirpour,"Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna","Romance,Sci-Fi",2016
113,300,117,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West","Action,Fantasy,War",2006
114,Harry Potter and the Deathly Hallows: Part 2,130,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","Adventure,Drama,Fantasy",2011
115,Office Christmas Party,105,Josh Gordon,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston",Comedy,2016
116,The Neon Demon,118,Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman","Horror,Thriller",2016
117,Dangal,161,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra","Action,Biography,Drama",2016
118,10 Cloverfield Lane,104,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin","Drama,Horror,Mystery",2016
119,Finding Dory,97,Andrew Stanton,"Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson","Animation,Adventure,Comedy",2016
120,Miss Peregrine's Home for Peculiar Children,127,Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench","Adventure,Drama,Family",2016
121,Divergent,139,Neil Burger,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney","Adventure,Mystery,Sci-Fi",2014
122,Mike and Dave Need Wedding Dates,98,Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza","Adventure,Comedy,Romance",2016
123,Boyka: Undisputed IV,86,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov",Action,2016
124,The Dark Knight Rises,164,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman","Action,Thriller",2012
125,The Jungle Book,106,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba","Adventure,Drama,Family",2016
126,Transformers: Age of Extinction,165,Michael Bay,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci","Action,Adventure,Sci-Fi",2014
127,Nerve,96,Henry Joost,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer","Adventure,Crime,Mystery",2016
128,Mamma Mia!,108,Phyllida Lloyd,"Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan SkarsgÃ¥rd","Comedy,Family,Musical",2008
129,The Revenant,156,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson","Adventure,Drama,Thriller",2015
130,Fences,139,Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",Drama,2016
131,Into the Woods,125,Rob Marshall,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt","Adventure,Comedy,Drama",2014
132,The Shallows,86,Jaume Collet-Serra,"Blake Lively, Ãscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen","Drama,Horror,Thriller",2016
133,Whiplash,107,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser","Drama,Music",2014
134,Furious 6,130,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","Action,Crime,Thriller",2013
135,The Place Beyond the Pines,140,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook","Crime,Drama,Thriller",2012
136,No Country for Old Men,122,Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson","Crime,Drama,Thriller",2007
137,The Great Gatsby,143,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire","Drama,Romance",2013
138,Shutter Island,138,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley","Mystery,Thriller",2010
139,Brimstone,148,Martin Koolhoven,"Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten","Mystery,Thriller,Western",2016
140,Star Trek,127,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy","Action,Adventure,Sci-Fi",2009
141,Diary of a Wimpy Kid,94,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn","Comedy,Family",2010
142,The Big Short,130,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt","Biography,Comedy,Drama",2015
143,Room,118,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson",Drama,2015
144,Django Unchained,165,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington","Drama,Western",2012
145,Ah-ga-ssi,144,Chan-wook Park,"Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon","Drama,Mystery,Romance",2016
146,The Edge of Seventeen,104,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick","Comedy,Drama",2016
147,Watchmen,162,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman","Action,Drama,Mystery",2009
148,Superbad,113,Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader",Comedy,2007
149,Inferno,121,Ron Howard,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster","Action,Adventure,Crime",2016
150,The BFG,117,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement","Adventure,Family,Fantasy",2016
151,The Hunger Games,142,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci","Adventure,Sci-Fi,Thriller",2012
152,White Girl,88,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",Drama,2016
153,Sicario,121,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal","Action,Crime,Drama",2015
154,Twin Peaks: The Missing Pieces,91,David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder","Drama,Horror,Mystery",2014
155,Aliens vs Predator - Requiem,94,Colin Strause,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz","Action,Horror,Sci-Fi",2007
156,Pacific Rim,131,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day","Action,Adventure,Sci-Fi",2013
157,"Crazy, Stupid, Love.",118,Glenn Ficarra,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone","Comedy,Drama,Romance",2011
158,Scott Pilgrim vs. the World,112,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill","Action,Comedy,Fantasy",2010
159,Hot Fuzz,121,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy","Action,Comedy,Mystery",2007
160,Mine,106,Fabio Guaglione,"Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer","Thriller,War",2016
161,Free Fire,90,Ben Wheatley,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy","Action,Comedy,Crime",2016
162,X-Men: Days of Future Past,132,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy","Action,Adventure,Sci-Fi",2014
163,Jack Reacher: Never Go Back,118,Edward Zwick,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper","Action,Adventure,Crime",2016
164,Casino Royale,144,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright","Action,Adventure,Thriller",2006
165,Twilight,122,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke","Drama,Fantasy,Romance",2008
166,Now You See Me 2,129,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco","Action,Adventure,Comedy",2016
167,Woman in Gold,109,Simon Curtis,"Helen Mirren, Ryan Reynolds, Daniel BrÃ¼hl, Katie Holmes","Biography,Drama,History",2015
168,13 Hours,144,Michael Bay,"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman","Action,Drama,History",2016
169,Spectre,148,Sam Mendes,"Daniel Craig, Christoph Waltz, LÃ©a Seydoux, Ralph Fiennes","Action,Adventure,Thriller",2015
170,Nightcrawler,118,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed","Crime,Drama,Thriller",2014
171,Kubo and the Two Strings,101,Travis Knight,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes","Animation,Adventure,Family",2016
172,Beyond the Gates,84,Jackson Stewart,"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton","Adventure,Horror",2016
173,Her,126,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara","Drama,Romance,Sci-Fi",2013
174,Frozen,102,Chris Buck,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Animation,Adventure,Comedy",2013
175,Tomorrowland,130,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy","Action,Adventure,Family",2015
176,Dawn of the Planet of the Apes,130,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee","Action,Adventure,Drama",2014
177,Tropic Thunder,107,Ben Stiller,"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn","Action,Comedy",2008
178,The Conjuring 2,134,James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor","Horror,Mystery,Thriller",2016
179,Ant-Man,117,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly","Action,Adventure,Comedy",2015
180,Bridget Jones's Baby,118,Sharon Maguire,"RenÃ©e Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips","Comedy,Romance",2016
181,The VVitch: A New-England Folktale,92,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings","Horror,Mystery",2015
182,Cinderella,105,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter","Drama,Family,Fantasy",2015
183,Realive,112,Mateo Gil,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward",Sci-Fi,2016
184,Forushande,124,Asghar Farhadi,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini","Drama,Thriller",2016
185,Love,135,Gaspar NoÃ©,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra","Drama,Romance",2015
186,Billy Lynn's Long Halftime Walk,113,Ang Lee,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee","Drama,War",2016
187,Crimson Peak,119,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam","Drama,Fantasy,Horror",2015
188,Drive,100,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","Crime,Drama",2011
189,Trainwreck,125,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn","Comedy,Drama,Romance",2015
190,The Light Between Oceans,133,Derek Cianfrance,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery","Drama,Romance",2016
191,Below Her Mouth,94,April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen",Drama,2016
192,Spotlight,128,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber","Crime,Drama,History",2015
